udp.srcport,udp.dstport,tcp.srcport,tcp.dstport,tcp.ack,tcp.urgent_pointer,tcp.window_size_value,ip.len,ip.id,ip.tos,ip.src,ip.dst
0,0,443,47280,1056055541,0,83,1355,54357,0,192.124.249.13,192.168.88.243
0,0,443,47280,1056055541,0,83,83,54358,0,192.124.249.13,192.168.88.243
0,0,47280,443,1470334915,0,585,52,32482,0,192.168.88.243,192.124.249.13
33030,53,0,0,0,0,0,66,8005,0,192.168.88.243,192.168.88.1
33030,53,0,0,0,0,0,66,8006,0,192.168.88.243,192.168.88.1
0,0,443,47280,1056055541,0,83,2892,54359,0,192.124.249.13,192.168.88.243
0,0,47280,443,1470337755,0,629,52,32483,0,192.168.88.243,192.124.249.13
0,0,443,47280,1056055541,0,83,2892,54361,0,192.124.249.13,192.168.88.243
0,0,47280,443,1470340595,0,674,52,32484,0,192.168.88.243,192.124.249.13
0,0,443,47280,1056055541,0,83,2761,54363,0,192.124.249.13,192.168.88.243
0,0,443,47280,1056055541,0,83,83,54365,0,192.124.249.13,192.168.88.243
53,33030,0,0,0,0,0,514,16607,0,192.168.88.1,192.168.88.243
0,0,47280,443,1470343304,0,716,52,32485,0,192.168.88.243,192.124.249.13
53,33030,0,0,0,0,0,526,16608,0,192.168.88.1,192.168.88.243
0,0,48692,443,0,0,64240,60,56126,0,192.168.88.243,64.233.164.95
0,0,48702,443,0,0,64240,60,25143,0,192.168.88.243,64.233.164.95
0,0,47280,443,1470343335,0,716,52,32486,0,192.168.88.243,192.124.249.13
0,0,443,48702,473142526,0,65535,60,0,0,64.233.164.95,192.168.88.243
0,0,48702,443,2114466289,0,502,52,25144,0,192.168.88.243,64.233.164.95
0,0,48702,443,2114466289,0,502,569,25145,0,192.168.88.243,64.233.164.95
0,0,443,48692,4235294234,0,65535,60,0,0,64.233.164.95,192.168.88.243
0,0,48692,443,3165280175,0,502,52,56127,0,192.168.88.243,64.233.164.95
0,0,443,47280,1056055541,0,83,2892,54366,0,192.124.249.13,192.168.88.243
0,0,47280,443,1470346175,0,761,52,32487,0,192.168.88.243,192.124.249.13
0,0,443,47280,1056055541,0,83,2172,54368,0,192.124.249.13,192.168.88.243
0,0,47280,443,1470348295,0,794,52,32488,0,192.168.88.243,192.124.249.13
0,0,443,47280,1056055541,0,83,83,54370,0,192.124.249.13,192.168.88.243
0,0,47280,443,1470348326,0,794,52,32489,0,192.168.88.243,192.124.249.13
0,0,443,47280,1056055541,0,83,2892,54371,0,192.124.249.13,192.168.88.243
0,0,443,47280,1056055541,0,83,2892,54373,0,192.124.249.13,192.168.88.243
0,0,443,47280,1056055541,0,83,2892,54375,0,192.124.249.13,192.168.88.243
0,0,443,47280,1056055541,0,83,2892,54377,0,192.124.249.13,192.168.88.243
0,0,443,47280,1056055541,0,83,2892,54379,0,192.124.249.13,192.168.88.243
0,0,47280,443,1470351166,0,838,52,32490,0,192.168.88.243,192.124.249.13
0,0,443,47280,1056055541,0,83,2892,54381,0,192.124.249.13,192.168.88.243
